timestamp,open,high,low,close,volume,volCcy,volCcyQuote,confirm,high_low,high_close,low_close,tr,atr
2026-03-03 20:00:00,68395.0,68561.7,68043.6,68224.3,383337.31,3833.3731,261754793.43838,1,518.0999999999913,166.8000000000029,351.29999999998836,518.0999999999913,899.471428571429
2026-03-03 21:00:00,68224.3,68228.3,67778.8,67980.7,314658.08,3146.5808,213847123.3357,1,449.5,4.0,445.5,449.5,908.807142857143
2026-03-03 22:00:00,67980.8,68486.8,67980.7,68270.7,201077.32,2010.7732,137293431.35783,1,506.1000000000058,506.1000000000058,0.0,506.1000000000058,843.8785714285716
2026-03-03 23:00:00,68270.7,68825.3,68198.6,68294.3,236849.12,2368.4912,162230521.66902,1,626.6999999999971,554.6000000000058,72.09999999999127,626.6999999999971,827.971428571428
2026-03-04 00:00:00,68294.4,68387.9,67814.3,68062.9,295051.88,2950.5188,200917595.22023,1,573.5999999999913,93.59999999999127,480.0,573.5999999999913,826.8142857142842
2026-03-04 01:00:00,68063.0,68877.0,67914.5,68383.9,476510.43,4765.1043,325981752.41988,1,962.5,814.1000000000058,148.39999999999418,962.5,866.2071428571414
2026-03-04 02:00:00,68383.8,68423.5,67942.6,68281.2,287531.36,2875.3136,196027676.244,1,480.8999999999942,39.60000000000582,441.29999999998836,480.8999999999942,833.8285714285697
2026-03-04 03:00:00,68281.1,68359.0,67358.1,67687.1,663693.86,6636.9386,449391952.27528,1,1000.8999999999942,77.80000000000291,923.0999999999913,1000.8999999999942,845.1785714285694
2026-03-04 04:00:00,67687.2,67921.9,67418.8,67752.9,430660.34,4306.6034,291333047.63972,1,503.09999999999127,234.79999999998836,268.3000000000029,503.09999999999127,775.8285714285687
2026-03-04 05:00:00,67753.0,68340.0,67640.0,68172.9,451588.62,4515.8862,307051277.00827,1,700.0,587.1000000000058,112.89999999999418,700.0,726.8999999999972
2026-03-04 06:00:00,68172.9,68646.5,68000.7,68464.8,465645.68,4656.4568,318279316.17772,1,645.8000000000029,473.6000000000058,172.1999999999971,645.8000000000029,664.4785714285691
2026-03-04 07:00:00,68464.9,69600.0,68310.0,69456.9,964140.11,9641.4011,665183848.68766,1,1290.0,1135.199999999997,154.8000000000029,1290.0,701.4857142857114
2026-03-04 08:00:00,69456.8,71178.8,69100.0,70989.9,1823707.07,18237.0707,1278404314.22465,1,2078.800000000003,1721.9000000000087,356.8999999999942,2078.800000000003,779.8285714285687
2026-03-04 09:00:00,70989.9,71877.9,70694.9,71492.4,1930961.08,19309.6108,1377631553.01422,1,1183.0,888.0,295.0,1183.0,822.7857142857122
2026-03-04 10:00:00,71492.4,71859.4,71168.4,71316.5,699979.54,6999.7954,500197750.0766,1,691.0,367.0,324.0,691.0,835.1357142857129
2026-03-04 11:00:00,71316.5,71468.2,70895.0,71088.4,601590.31,6015.9031,428001435.93232,1,573.1999999999971,151.6999999999971,421.5,573.1999999999971,843.9714285714269
2026-03-04 12:00:00,71088.4,71338.0,70564.1,71313.6,734243.59,7342.4359,520672094.48302,1,773.8999999999942,249.60000000000582,524.2999999999884,773.8999999999942,863.0999999999975
2026-03-04 13:00:00,71313.6,71612.9,71173.1,71445.8,521875.77,5218.7577,372533913.20275,1,439.79999999998836,299.29999999998836,140.5,439.79999999998836,849.7499999999969
2026-03-04 14:00:00,71445.7,72621.0,71259.0,71582.3,2068984.11,20689.8411,1487098713.65681,1,1362.0,1175.199999999997,186.8000000000029,1362.0,906.0642857142832
2026-03-04 15:00:00,71582.2,73453.0,71532.8,73352.2,1887433.19,18874.3319,1370264889.24301,1,1920.199999999997,1870.699999999997,49.5,1920.199999999997,974.4714285714259
2026-03-04 16:00:00,73352.2,73480.0,72500.1,73249.2,1011106.35,10111.0635,738220856.51703,1,979.8999999999942,127.80000000000291,852.0999999999913,979.8999999999942,1010.114285714283
2026-03-04 17:00:00,73249.2,73715.9,72894.7,73178.8,818226.32,8182.2632,599399308.3329,1,821.1999999999971,466.6999999999971,354.5,821.1999999999971,997.278571428569
2026-03-04 18:00:00,73178.9,73668.7,72852.1,73653.8,461393.98,4613.9398,338176844.20953,1,816.5999999999913,489.8999999999942,326.6999999999971,816.5999999999913,1019.6714285714261
2026-03-04 19:00:00,73653.8,74030.0,73480.1,73587.4,807472.96,8074.7296,595490451.9682,1,549.8999999999942,376.1999999999971,173.6999999999971,549.8999999999942,1008.9499999999971
2026-03-04 20:00:00,73587.4,73687.9,72956.2,72986.3,373255.46,3732.5546,273821955.00687,1,731.6999999999971,100.5,631.1999999999971,731.6999999999971,1015.085714285711
2026-03-04 21:00:00,72986.4,73289.6,72831.4,73275.1,233978.25,2339.7825,170936019.6335,1,458.20000000001164,303.3000000000029,154.90000000000873,458.20000000001164,955.6714285714261
2026-03-04 22:00:00,73275.1,73499.5,72601.0,72684.0,278736.42,2787.3642,203483583.53133,1,898.5,224.39999999999418,674.1000000000058,898.5,871.364285714283
2026-03-04 23:00:00,72684.0,72865.8,72288.2,72644.4,497301.36,4973.0136,360855438.8168,1,577.6000000000058,181.8000000000029,395.8000000000029,577.6000000000058,828.1214285714262
2026-03-05 00:00:00,72644.3,72977.8,72515.2,72733.4,257553.88,2575.5388,187438133.17624,1,462.6000000000058,333.40000000000873,129.1999999999971,462.6000000000058,811.807142857141
2026-03-05 01:00:00,72733.4,73280.9,72373.9,72508.2,399370.57,3993.7057,290717743.54512,1,907.0,547.5,359.5,907.0,835.6499999999984
2026-03-05 02:00:00,72508.2,72882.3,72303.9,72478.6,306889.49,3068.8949,222622370.04377,1,578.4000000000087,374.1000000000058,204.3000000000029,578.4000000000087,821.6857142857136
2026-03-05 03:00:00,72478.6,72750.0,72303.5,72467.5,241641.89,2416.4189,175219969.0422,1,446.5,271.3999999999942,175.10000000000582,446.5,822.1642857142859
2026-03-05 04:00:00,72467.4,73100.0,72412.3,72790.9,414410.78,4144.1078,301422566.81492,1,687.6999999999971,632.5,55.19999999999709,687.6999999999971,774.0
2026-03-05 05:00:00,72791.0,72891.2,72180.0,72379.9,356400.57,3564.0057,258148340.34923,1,711.1999999999971,100.30000000000291,610.8999999999942,711.1999999999971,687.6428571428571
2026-03-05 06:00:00,72379.9,72656.9,72000.0,72527.1,569589.27,5695.8927,411760254.48129,1,656.8999999999942,277.0,379.8999999999942,656.8999999999942,664.5714285714286
2026-03-05 07:00:00,72527.1,72650.0,71739.1,72029.9,525548.72,5255.4872,379012150.41272,1,910.8999999999942,122.89999999999418,788.0,910.8999999999942,670.9785714285712
2026-03-05 08:00:00,72029.9,72346.6,71718.7,72311.9,587675.15,5876.7515,423264258.53208,1,627.9000000000087,316.70000000001164,311.1999999999971,627.9000000000087,657.500000000001
2026-03-05 09:00:00,72311.9,72859.4,72272.9,72574.7,455658.76,4556.5876,330692720.09891,1,586.5,547.5,39.0,586.5,660.1142857142871
2026-03-05 10:00:00,72574.7,73526.0,72494.6,73354.2,787620.08,7876.2008,576282111.48895,1,1031.3999999999942,951.3000000000029,80.09999999999127,1031.3999999999942,681.5214285714299
2026-03-05 11:00:00,73354.3,73423.4,72750.0,72889.7,462590.25,4625.9025,337732104.90688,1,673.3999999999942,69.19999999999709,604.1999999999971,673.3999999999942,696.8928571428571
2026-03-05 12:00:00,72889.7,73052.3,72628.9,72856.5,327114.0,3271.14,238290385.37294,1,423.40000000000873,162.60000000000582,260.8000000000029,423.40000000000873,662.9571428571435
2026-03-05 13:00:00,72856.5,72917.5,72155.3,72427.7,534416.06,5344.1606,387508740.38977,1,762.1999999999971,61.0,701.1999999999971,762.1999999999971,676.1428571428571
2026-03-05 14:00:00,72427.6,72826.8,71888.0,72584.1,779425.9,7794.259,564011685.76416,1,938.8000000000029,399.1000000000058,539.6999999999971,938.8000000000029,710.1571428571426
2026-03-05 15:00:00,72584.2,72737.0,71131.0,71622.0,1549450.0,15494.5,1109846647.37587,1,1606.0,152.89999999999418,1453.1000000000058,1606.0,760.0857142857141
2026-03-05 16:00:00,71621.9,71622.0,70755.1,71272.9,909696.82,9096.9682,646788550.43959,1,866.8999999999942,0.0,866.8999999999942,866.8999999999942,780.6928571428559
2026-03-05 17:00:00,71272.9,71546.2,70611.1,70675.2,480306.14,4803.0614,340747922.1287,1,935.0999999999913,273.3000000000029,661.7999999999884,935.0999999999913,815.5928571428552
2026-03-05 18:00:00,70675.1,71057.9,70620.0,70959.7,297807.41,2978.0741,211066585.34774,1,437.8999999999942,382.6999999999971,55.19999999999709,437.8999999999942,797.749999999998
2026-03-05 19:00:00,70959.7,71397.2,70829.9,70885.2,278916.68,2789.1668,198397793.57066,1,567.3000000000029,437.5,129.8000000000029,567.3000000000029,787.4714285714269
2026-03-05 20:00:00,70885.2,71355.9,70804.2,71200.1,256510.51,2565.1051,182446147.58536,1,551.6999999999971,470.6999999999971,81.0,551.6999999999971,779.9571428571414
2026-03-05 21:00:00,71200.0,71567.9,70981.1,71100.7,279022.68,2790.2268,198994557.85435,1,586.7999999999884,367.79999999998836,219.0,586.7999999999884,756.807142857141
2026-03-05 22:00:00,71100.7,71338.2,71036.3,71171.6,111186.46,1111.8646,79138390.31942,1,301.8999999999942,237.5,64.39999999999418,301.8999999999942,733.5214285714256
2026-03-05 23:00:00,71171.6,71263.6,70732.6,70851.8,183768.57,1837.6857,130456646.03462,1,531.0,92.0,439.0,531.0,729.55714285714
2026-03-06 00:00:00,70851.8,71026.2,70739.0,70958.9,137413.43,1374.1343,97435254.23109,1,287.1999999999971,174.39999999999418,112.80000000000291,287.1999999999971,676.3999999999972
2026-03-06 01:00:00,70958.9,71269.0,70343.0,71218.2,444395.57,4443.9557,314791201.30275,1,926.0,310.1000000000058,615.8999999999942,926.0,694.4428571428549
2026-03-06 02:00:00,71218.2,71397.5,70987.4,71215.0,366552.3,3665.523,260998911.28643,1,410.1000000000058,179.3000000000029,230.8000000000029,410.1000000000058,693.4928571428546
2026-03-06 03:00:00,71215.0,71264.9,70966.0,71049.6,171330.62,1713.3062,121819215.79386,1,298.8999999999942,49.89999999999418,249.0,298.8999999999942,660.3999999999972
2026-03-06 04:00:00,71049.7,71090.8,70214.7,70586.3,528717.87,5287.1787,372990563.44206,1,876.1000000000058,41.19999999999709,834.9000000000087,876.1000000000058,655.9214285714261
2026-03-06 05:00:00,70586.3,70634.5,70111.0,70405.9,433257.01,4332.5701,304769174.94322,1,523.5,48.19999999999709,475.3000000000029,523.5,578.5999999999975
2026-03-06 06:00:00,70405.8,70850.0,70238.0,70570.6,322918.82,3229.1882,227717944.61056,1,612.0,444.1000000000058,167.89999999999418,612.0,560.3928571428551
2026-03-06 07:00:00,70570.5,71158.0,70440.0,71025.8,419149.62,4191.4962,296928253.39013,1,718.0,587.3999999999942,130.60000000000582,718.0,544.8857142857129
2026-03-06 08:00:00,71025.9,71038.4,70701.3,70755.6,285290.69,2852.9069,202219981.09156,1,337.09999999999127,12.599999999991269,324.5,337.09999999999127,537.6857142857126
2026-03-06 09:00:00,70755.7,70780.0,70267.3,70529.0,411072.29,4110.7229,289687637.81521,1,512.6999999999971,24.39999999999418,488.3000000000029,512.6999999999971,533.7857142857122
2026-03-06 10:00:00,70529.0,70773.3,70433.3,70500.4,246544.81,2465.4481,174087472.28586,1,340.0,244.3000000000029,95.69999999999709,340.0,518.6642857142839
2026-03-06 11:00:00,70500.5,70620.2,70156.8,70185.2,287241.12,2872.4112,202125594.66437,1,463.3999999999942,119.80000000000291,343.59999999999127,463.3999999999942,509.84999999999854
2026-03-06 12:00:00,70185.3,70204.1,69626.6,69895.2,859892.14,8598.9214,601275750.24186,1,577.5,18.90000000000873,558.5999999999913,577.5,529.5357142857132
2026-03-06 13:00:00,69895.1,70320.9,69180.0,69196.0,1261488.92,12614.8892,880396078.1256,1,1140.8999999999942,425.6999999999971,715.1999999999971,1140.8999999999942,573.0999999999985
2026-03-06 14:00:00,69195.9,69244.3,68120.4,68373.5,1754191.53,17541.9153,1205882616.34697,1,1123.9000000000087,48.30000000000291,1075.6000000000058,1123.9000000000087,632.8642857142851
2026-03-06 15:00:00,68373.5,69066.6,68260.0,68452.5,931091.37,9310.9137,638883620.86793,1,806.6000000000058,693.1000000000058,113.5,806.6000000000058,624.3357142857141
2026-03-06 16:00:00,68452.4,68755.0,68180.0,68413.2,493429.09,4934.2909,337792564.42693,1,575.0,302.5,272.5,575.0,636.1142857142851
2026-03-06 17:00:00,68413.1,68615.4,67707.2,67920.9,677750.55,6777.5055,461197215.75314,1,908.1999999999971,202.1999999999971,706.0,908.1999999999971,679.6357142857139
2026-03-06 18:00:00,67920.9,68442.1,67912.6,68144.6,358793.1,3587.931,244890204.84588,1,529.5,521.2000000000116,8.299999999988358,529.5,654.8785714285706
2026-03-06 19:00:00,68144.6,68444.0,67961.0,68091.2,200036.49,2000.3649,136381933.63711,1,483.0,299.3999999999942,183.60000000000582,483.0,651.9857142857135
2026-03-06 20:00:00,68091.2,68250.0,67725.6,68079.3,279863.27,2798.6327,190216001.18215,1,524.3999999999942,158.8000000000029,365.59999999999127,524.3999999999942,645.7285714285701
2026-03-06 21:00:00,68079.4,68295.6,67895.5,68259.6,147566.79,1475.6679,100505072.05722,1,400.1000000000058,216.3000000000029,183.8000000000029,400.1000000000058,623.0214285714277
2026-03-06 22:00:00,68259.6,68405.9,68189.5,68296.9,96969.89,969.6989,66225310.75238,1,216.39999999999418,146.29999999998836,70.10000000000582,216.39999999999418,614.3999999999994
2026-03-06 23:00:00,68296.9,68333.0,68061.2,68076.9,113231.95,1132.3195,77269597.10113,1,271.8000000000029,36.10000000000582,235.6999999999971,271.8000000000029,597.192857142857
2026-03-07 00:00:00,68076.8,68362.8,68072.0,68250.1,118891.53,1188.9153,81087764.01214,1,290.8000000000029,285.90000000000873,4.899999999994179,290.8000000000029,593.6785714285714
2026-03-07 01:00:00,68250.1,68341.0,68139.4,68225.2,88981.15,889.8115,60713003.9085,1,201.60000000000582,90.89999999999418,110.70000000001164,201.60000000000582,574.9785714285723
2026-03-07 02:00:00,68225.3,68334.0,68017.7,68310.9,140749.11,1407.4911,95924634.87501,1,316.3000000000029,108.80000000000291,207.5,316.3000000000029,556.3214285714296
2026-03-07 03:00:00,68311.0,68524.8,68067.1,68069.5,311021.12,3110.2112,212333078.24452,1,457.6999999999971,213.90000000000873,243.79999999998836,457.6999999999971,507.5214285714298
2026-03-07 04:00:00,68069.6,68116.1,67777.0,68031.5,226863.53,2268.6353,154203003.43057,1,339.1000000000058,46.60000000000582,292.5,339.1000000000058,451.46428571428675
2026-03-07 05:00:00,68031.6,68108.0,67872.0,67989.5,136689.47,1366.8947,92925558.38627,1,236.0,76.5,159.5,236.0,410.7071428571435
2026-03-07 06:00:00,67989.6,67990.6,67555.1,67658.8,282626.73,2826.2673,191513093.11121,1,435.5,1.1000000000058208,434.3999999999942,435.5,400.74285714285776
2026-03-07 07:00:00,67658.7,67834.6,67406.5,67808.0,427420.9,4274.209,288989589.19679,1,428.1000000000058,175.8000000000029,252.3000000000029,428.1000000000058,366.45000000000124
2026-03-07 08:00:00,67808.1,68005.0,67676.2,67761.0,224758.41,2247.5841,152564570.47159,1,328.8000000000029,197.0,131.8000000000029,328.8000000000029,352.1142857142872
2026-03-07 09:00:00,67760.9,68040.0,67695.0,67960.6,155637.68,1556.3768,105680411.74603,1,345.0,279.0,66.0,345.0,342.2571428571443
2026-03-07 10:00:00,67960.7,68071.0,67830.0,67847.2,119212.21,1192.1221,81011519.44809,1,241.0,110.39999999999418,130.60000000000582,241.0,322.0142857142876
2026-03-07 11:00:00,67847.1,68240.0,67796.0,67973.2,275091.84,2750.9184,187261914.41144,1,444.0,392.8000000000029,51.19999999999709,444.0,325.15000000000146
2026-03-07 12:00:00,67973.2,68053.7,67853.3,67956.6,100527.26,1005.2726,68312016.86901,1,200.39999999999418,80.5,119.89999999999418,200.39999999999418,324.0071428571443
2026-03-07 13:00:00,67956.6,68048.3,67814.1,67898.0,112964.52,1129.6452,76748211.17634,1,234.1999999999971,91.69999999999709,142.5,234.1999999999971,321.32142857142964
2026-03-07 14:00:00,67898.1,68074.1,67576.9,67985.9,323763.92,3237.6392,219535160.41838,1,497.20000000001164,176.10000000000582,321.1000000000058,497.20000000001164,336.0642857142874
2026-03-07 15:00:00,67986.0,68010.0,67738.3,67851.1,152604.25,1526.0425,103603947.46041,1,271.6999999999971,24.10000000000582,247.59999999999127,271.6999999999971,341.07142857142964
2026-03-07 16:00:00,67851.1,67862.8,67667.5,67760.1,87048.09,870.4809,59002675.3624,1,195.3000000000029,11.69999999999709,183.60000000000582,195.3000000000029,332.42857142857247
2026-03-07 17:00:00,67760.0,67919.3,67735.1,67755.5,71995.11,719.9511,48830434.33161,1,184.1999999999971,159.1999999999971,25.0,184.1999999999971,312.8928571428582
2026-03-07 18:00:00,67755.5,67755.9,67450.0,67534.6,206945.0,2069.45,139833054.48011,1,305.8999999999942,0.39999999999417923,305.5,305.8999999999942,310.52142857142877
2026-03-07 19:00:00,67534.6,67548.2,66880.4,67040.1,470361.74,4703.6174,316148262.97386,1,667.8000000000029,13.599999999991269,654.2000000000116,667.8000000000029,341.36428571428615
2026-03-07 20:00:00,67040.0,67418.8,67022.3,67356.5,155880.28,1558.8028,104868748.19251,1,396.5,378.6999999999971,17.80000000000291,396.5,338.5785714285718
2026-03-07 21:00:00,67356.4,67444.9,67236.1,67413.2,85957.11,859.5711,57889189.27357,1,208.79999999998836,88.39999999999418,120.39999999999418,208.79999999998836,322.91428571428486
2026-03-07 22:00:00,67413.3,67436.3,67050.0,67227.2,110377.84,1103.7784,74240297.06687,1,386.3000000000029,23.10000000000582,363.1999999999971,386.3000000000029,327.02142857142775
2026-03-07 23:00:00,67227.2,67364.3,67153.0,67227.7,96602.36,966.0236,64998829.15614,1,211.3000000000029,137.10000000000582,74.19999999999709,211.3000000000029,317.47142857142796
2026-03-08 00:00:00,67227.7,67463.1,67148.8,67161.1,131257.57,1312.5757,88336701.82653,1,314.3000000000029,235.40000000000873,78.89999999999418,314.3000000000029,322.70714285714246
2026-03-08 01:00:00,67161.1,67320.0,67058.1,67265.5,136888.85,1368.8885,91984955.66095,1,261.8999999999942,158.89999999999418,103.0,261.8999999999942,309.6999999999992
2026-03-08 02:00:00,67265.5,67410.1,66800.0,66897.5,366092.04,3660.9204,245514889.95363,1,610.1000000000058,144.60000000000582,465.5,610.1000000000058,338.9642857142857
2026-03-08 03:00:00,66897.6,67066.0,66810.2,66983.0,232868.4,2328.684,155933082.05382,1,255.8000000000029,168.5,87.30000000000291,255.8000000000029,340.50714285714326
2026-03-08 04:00:00,66983.0,67064.0,66510.6,66612.1,339457.43,3394.5743,226697038.65009,1,553.3999999999942,81.0,472.3999999999942,553.3999999999942,344.52142857142775
2026-03-08 05:00:00,66612.0,67218.0,66572.8,67112.3,281660.92,2816.6092,188709418.03818,1,645.1999999999971,605.8999999999942,39.30000000000291,645.1999999999971,371.1999999999992
2026-03-08 06:00:00,67112.2,67208.1,67003.5,67130.0,143010.23,1430.1023,95966099.01397,1,204.60000000000582,95.80000000000291,108.80000000000291,204.60000000000582,371.8642857142851
2026-03-08 07:00:00,67130.0,67438.5,67119.0,67275.7,203030.61,2030.3061,136654763.32329,1,319.5,308.5,11.0,319.5,381.528571428571
2026-03-08 08:00:00,67275.7,67555.0,67121.7,67500.0,229931.07,2299.3107,154912450.88955,1,433.3000000000029,279.3000000000029,154.0,433.3000000000029,390.62857142857166
2026-03-08 09:00:00,67500.1,67866.0,67437.8,67653.8,359299.0,3592.99,243205723.92969,1,428.1999999999971,366.0,62.19999999999709,428.1999999999971,373.5142857142855
2026-03-08 10:00:00,67653.8,68167.6,67653.7,67865.0,483470.64,4834.7064,328582275.0597,1,513.9000000000087,513.8000000000029,0.10000000000582077,513.9000000000087,381.90000000000043
